Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
UBR2,-0.09055253867729895,0.5989849682008896,,False,0.22258407629068935
TRERF1,-0.31505866951467976,0.2869926313409156,,False,0.5421292538202301
MRPS10,-0.9461916001062143,0.0029884754485365356,,False,2.52455030771014
LOC121930937,-0.2308838822300876,0.62683255546576,,False,0.20284845589844902
UTP25,-0.8646852943834764,0.0005369009093742426,,False,3.2701058604512134
SYT14,1.2310195986891523,0.016102964301755802,,False,1.7930941698442495
SERTAD4,0.4150374992788439,0.5758060140306764,,False,0.23972380342685504
HHAT,-0.7830727891752431,0.04013280458716408,,False,1.3965004895517517
KCNH1,-0.736965594166206,0.36321746764912255,,False,0.43983327380401
RCOR3,0.5903465584100935,0.052580094277981854,,False,1.279178639523483
TRAF5,-0.8558164110142492,0.010374238565774315,,False,1.9840437692007271
LOC121919865,0.27634933467333234,0.1495970325549046,,False,0.825077021162815
RD3,-0.807354922057604,0.0940170289721856,,False,1.0267934770508989
SLC30A1,-0.046027149157897185,0.8720773101823959,,False,0.05944501289159983
NEK2,-0.07623558582708512,0.8424478885158974,,False,0.07445695387495382
LOC121919248,3.633999994029711,0.05570392107907843,,False,1.254114233137392
LPGAT1,0.03150300238464787,0.9220755841779007,,False,0.03523347759501447
INTS7,-0.7413169278524903,0.1827613843245945,,False,0.7381155610439117
DTL,0.006231953711514748,0.9877207422306657,,False,0.005365825909705631
PPP2R5A,-0.14843755338752906,0.5725519449003152,,False,0.2421851057388404
PACC1,1.1769819616465007,0.005465563580953537,,False,2.2623650491802274
NENF,0.9547139516852301,0.01876266143950859,,False,1.7267055579339572
ATF3,-0.900371819312964,0.0564365299407677,,False,1.2484396971484852
BATF3,-3.1061994038319254,0.07889451984309778,,False,1.102953162627846
NSL1,-1.124545097938304,0.0020922517159881037,,False,2.67938606727686
TATDN3,-1.063009797525801,0.0032484723003254634,,False,2.488320832105351
SPATA45,0.1520030934450498,0.7363974369833142,,False,0.13288773171873006
FLVCR1,2.224114631211358,0.0007589399021824778,,False,3.119792613016097
VASH2,-0.6520766965796934,0.2561651968059976,,False,0.5914798748326655
ANGEL2,0.49366666670160697,0.01292701018075851,,False,1.8885019091601372
KTI12,1.3334237337251924,0.039233553284995885,,False,1.406342357121965
RPS6KC1,0.220455438691884,0.3271251249304206,,False,0.4852860984931954
LOC121920035,0.0,,,False,
LOC121918896,-0.48542682717024166,0.4988329808377717,,False,0.3020448404333915
PROX1,-0.1770730613277749,0.3273272148322646,,False,0.48501788482299707
SMYD2,-0.20694983662882827,0.609477728907393,,False,0.2150421594292588
PTPN14,0.893344063770571,0.005262646056758639,,False,2.2787958378044295
CENPF,-2.01149563883783,0.016570359850514454,,False,1.780668060114412
LOC121919162,-1.652076696579693,0.24804371960298685,,False,0.6054717647023652
LOC121918282,-1.8524428115861422,0.005969947300169591,,False,2.2240295025970234
KCNK2,0.0,1.0,,False,-0.0
LOC121919490,0.0,,,False,
LOC121917964,0.0,,,False,
